,std_features
62,"[-0.9479002328753526,0.3301149979945058,-0.1,1.8797393091320418,-1.1935803895596906,-3.389737794718788,-0.35778974107187084,0.5047479341166257,0.19097749482461013,0.5504672130240162,-0.15845530690958112,1.1009390216060235,-0.9896991185415939,-0.45455394875064475,0.7625146368618583,-0.4440510659875736,-0.0761100768720102,0.16469149240696354,1.3827595565965913,-0.7462111612700272,-0.7217547694225154,-0.5242012733719434,-0.6159104026739735,1.651672008685154,-1.0059044256625758,-0.29453004850497305,-0.5561077697057487,1.067980187552716,2.3392102346550026,-0.010174952169081628,1.3580842207187398,0.16335360109709762,0.6213872173817185,0.16291248849763934,-0.26450588965735183,-1.2323917643341191,0.02267650762078537,-1.1052866334454754,0.27008635365253053,0.8999032591032019,1.1178458238333582,0.7564604066825609,-0.6971487372509081,-1.5437313838857074,-1.5397938636110062,-2.807002922580748]"
63,"[0.051703649065928586,-0.3187596909381834,-0.1,0.9824890422432393,-1.1935803895596906,0.47854387788502006,-0.3577903684815907,0.13010072765636194,-0.16137956681937585,0.38213440703522666,-0.15845530690958112,0.8270735933458188,-0.20527058625143185,1.6753787256894934,0.7625146368618583,-0.4441457438041531,0.3808440272398557,0.16469149240696354,-0.15672292431952892,-0.08707587351629727,-0.457584605791482,-1.0368128647789376,-0.15415347552253278,-1.2913231647702441,-0.7564088475027734,-1.4613146066622258,-0.985242507024876,0.44222957508985933,-0.5661574718417264,1.5348288849973346,0.14660691413533034,0.003776123039916797,0.6207463302975089,-0.08466625427015964,-0.4090518406809732,-0.013685082138730095,-1.0196838235397414,2.0652193614801333,0.5727524558788545,-0.15716259693151177,0.5812622035078711,0.14411121617367775,0.1890051146551106,-1.0349207761448678,-0.7044626536954515,0.1404368355336365]"
64,"[-1.4304676241573504,-0.3187596909381834,-0.1,0.9824890422432393,-1.1935803895596906,-0.14537252092204578,-0.3577776928055369,-0.9252435158936768,0.07171116303722563,0.1296351980520423,-0.15845529102513478,-0.8161189762154099,0.14714028197135792,-0.68935669538812,0.7625146368618583,-0.44390835310228827,-0.6311218557749292,0.16469149240696354,-0.7793391077371288,-1.0910617017238466,-0.17665564358411684,1.9832642630511885,-0.5706947461090939,0.3002104201547491,-0.9023775073790858,-0.09117391716174555,-0.18837189353166428,-1.1063300240793925,-0.332760653156074,-0.894337117984117,-0.26625367353648793,-0.47839348617874905,0.10004902224341257,0.24344257165201727,0.45326627463945723,0.5166399146942615,-0.9592408617332102,0.17048149019805678,0.28817033752041915,0.2911184007044017,0.4930056122618218,0.7206058841269212,-0.8241849905043337,-1.0349207761448678,-0.7044626536954515,0.1404368355336365]"
65,"[-1.3615294254027794,-0.39986902705476957,-0.1,0.533863908798838,-1.1935803895596906,-3.389737794718788,0.8045418070830741,0.40976695219712217,1.2549407095852654,-0.5121336247802181,-0.15845261167771968,0.005477308565204465,0.029669992563761332,-1.0745346578505215,0.7625146368618583,-0.4441770710228743,-2.287384444110655,0.16469149240696354,-0.08422651940104127,-0.7663691545343574,-1.5021174090483909,0.3059817416774232,0.9203626729823177,1.0922083870209796,0.9318525375198783,-0.4913026698227206,1.677448518824016,-0.10011972291803331,-0.7091960774739694,-0.2638388000978989,-1.01481299441102,-0.7632813441486455,-1.458460535311062,0.48455407316535376,0.5805551465582749,-1.2655292164945335,1.020398353758262,-0.5969994243003014,0.22413453937414562,1.103488632905615,-0.4377344528031414,0.19775560894082175,0.33756842077226384,-0.7296344115003639,0.6877560294971398,-0.7264572109705942]"
66,"[-0.3963946428387837,-0.39986902705476957,-0.1,0.533863908798838,-1.1935803895596906,-3.389737794718788,-0.35775244643832266,-0.9621805644179281,0.10353181139525322,0.28043333675033294,-0.15845530690958112,0.2793427368254092,0.4337677881258936,-0.3846204146441128,-1.298335733035056,-0.444143655322905,-0.4374283896425437,0.16469149240696354,0.8283752836905092,-0.18014155236121612,0.7625376650829503,0.3692917331076293,-1.1527014394959063,-1.123385583856099,-0.7828322650966675,1.1821740561865475,-1.0315726313469373,-1.448758212877684,-0.6587188402002865,-0.8713346556136362,0.3551051254392132,0.428635399113028,-0.36437486715825457,0.3472739449270688,-0.7608584297078126,-1.0188893425850456,0.1719127899689169,-0.06459820279730372,1.513190964742801,0.5554839262531104,0.22180057840045125,0.48619790501194954,0.4895966383667766,-0.7296344115003639,0.6877560294971398,-0.7264572109705942]"
67,"[-0.18958004657507033,-0.39986902705476957,-0.1,0.533863908798838,-1.1935803895596906,1.102460276692086,1.1982351572061105,1.359576771392157,-0.03815398385380357,-0.140398678221641,-0.15845530690958112,0.005477308565204465,-0.4449099766429289,-0.6610934018113869,-1.298335733035056,-0.44416802093746593,0.19035431244253376,0.16469149240696354,1.9072923686538843,-0.25105522249620477,-0.26301446858156574,-0.7268613876346391,0.5857869673493875,0.09121691543260897,2.2775183954852696,-0.3061501444886027,-0.14032741124682163,0.727513311649424,-0.5862784782264034,1.068548243712555,-0.9136742497153448,-0.38039992819979485,-1.233001813346574,0.0986097867128057,1.0893767511456232,0.658901700226418,1.1774694970521118,0.07967298443412525,0.7905369102556505,-0.36691307711055277,-0.7107812340682504,0.39458328540429544,0.036981936395134904,-0.7296344115003639,0.6877560294971398,-0.7264572109705942]"
68,"[-1.2581221272709227,0.5734430063442643,-0.1,3.001302142743045,-1.1935803895596906,0.7905020772885529,-0.35777206861482086,0.4836410492456249,-0.5980377214507836,0.7924456216329013,-0.15845530690958112,-1.0899844044756146,-0.9897686609529233,-0.11466972599454635,0.7625146368618583,-0.4438401293815178,-0.48725816487183615,0.16469149240696354,0.9648391047135448,-0.13155770112355814,0.33121347162040615,-0.007853303012895479,1.4011152056081335,-0.02773014170958478,1.0239894147825852,0.745264221642453,-0.2726014490822552,0.636014992752306,0.4621354738171077,1.964624778818327,0.5352155862167781,0.27759571116479675,1.6254416974063723,0.5141841143681918,-0.2969445900041569,-0.0834236182314116,0.8203550727463286,-0.1824116324254207,1.1834490909781061,-0.5396774579703402,0.3113869581937309,-0.7611897015389483,0.02000440324961544,-0.1190616822113563,-1.5397938636110062,-0.2063207830680558]"
69,"[-0.6376783384797826,0.8167710146940227,-0.1,3.2256147094652454,-1.1935803895596906,0.6033271576464332,-0.3577835044692768,-0.6086402428286651,0.4371190896759787,0.8415426900462982,-0.15845530690958112,-1.0899844044756146,-0.989515864890118,1.6762954709811493,0.7625146368618583,-0.4438825951668954,0.5355203788987883,0.16469149240696354,-1.8103232755661627,-0.7208270983681189,1.750544081336781,-0.3046571902948368,0.008892648668688686,-1.1882511583186226,0.48721988873122624,1.166416002638898,-0.5247589822551598,0.3507582270200959,-0.8372756064271935,0.6645011257561301,-0.5024647338109341,0.9255080960871227,0.12998001085310734,0.7843158759169268,-1.0276097930666606,-0.6523498531368465,-0.31630037583725623,-0.769789994858407,0.2079932883389341,0.2020756023975831,-0.23361082506533987,0.3822842657015724,-1.4453653140354743,-0.1190616822113563,-0.14757518041841497,-2.28686649467821]"
70,"[-0.292987344706927,-0.3187596909381834,-0.1,0.9824890422432393,-1.1935803895596906,-0.20776416080275237,-0.35773938581765985,0.04039646695460864,0.36803585924175597,-0.007135206813849262,-0.15845530690958112,1.648669878126433,-0.9896981787792786,-0.5523884265162594,-1.298335733035056,-0.44390904926270436,0.5340901327670636,0.16469149240696354,-0.03731708092437278,-1.1832772306361015,-1.0695885167294332,1.512970018689008,-1.3564833153348792,-1.061710138732276,-1.2968392424829172,0.4543794271835226,0.5099129632138604,-0.7944954691140675,0.32945533020328466,-0.712487254687394,0.8986157754027791,-0.11003037012416758,0.46380174293346205,1.3723642781125314,1.0541612915499623,0.16713577785331313,0.13101361142416956,0.2139211806225868,0.9780217626150572,-0.8584458264280661,-1.1920337167180948,0.2655448900008637,-0.04825427564410706,-1.0349207761448678,-0.7044626536954515,0.1404368355336365]"
71,"[-0.12064184782049922,0.6545523424608504,-0.1,1.8797393091320418,0.8294372198635139,0.7905020772885529,-0.3577843793433882,-0.20760943027965045,-0.5969623692789302,-2.374490637704108,-0.15845493490609605,0.553208165085614,0.28810462926047387,-0.10416157838268403,0.7625146368618583,-0.4425919137555834,1.3712036586913845,0.16469149240696354,-1.8089586373559323,0.8657036676534066,-0.4473632885145224,0.5431918912257688,0.12089856500917534,1.2572622497499404,0.044024378920580774,1.562292442099078,2.349075598811953,1.0189597147716554,1.182065496882703,0.7814460281967112,1.8957595215704843,0.49373546223743575,0.6231514421521855,0.34969079577670764,-0.4254593978911728,-0.630142626330601,-0.16701238280848132,-0.21528189519741836,0.8653878488457539,1.5551329919622334,1.5004681112402154,0.6611129662454719,0.9611506739318,-1.5437313838857074,-1.5397938636110062,-2.633624113279902]"
72,"[-0.7066165372343537,-0.5620876992879419,-0.1,-0.587698924812165,-1.1935803895596906,0.2289773183621937,-0.35778672900528735,-0.04930779374714465,0.09457054329647432,0.6626890836832093,-0.15845530690958112,1.648669878126433,0.7532869753145564,0.37848851192768174,0.7625146368618583,0.6137619015220671,0.9531713193108565,0.16469149240696354,1.2462957355735558,1.4685076327624553,1.35884955723181,-0.013807597801222938,0.8171845761363147,0.09396539816741507,0.29457835867817167,1.2066648298772054,-0.5259020593465606,0.40985617169715843,-0.5248929646038425,0.09987501043900637,1.2997725940577916,0.7418300438853102,0.2676494949779412,-0.9630266819368798,-0.881080665636845,-0.6933472070853853,-0.7260385683110425,-0.40830930519697084,0.2880925963395052,1.287610302125434,1.4147818372995558,-0.28325005832274064,-1.2721615745573294,1.3056080194629949,0.6877560294971398,0.4871944541353288]"
73,"[0.1206418478204997,1.70897371197647,-0.1,1.4311141756876407,0.8294372198635139,0.29136895824290027,-0.35779050471198803,0.27257220053561715,-0.07013756435908168,-2.374665984377013,-0.15845530690958112,-1.3638498327358193,-0.9885624760212859,0.7245326832838374,-1.298335733035056,-0.4439013914981281,-2.2859545793778984,0.16469149240696354,0.6577955074117148,0.6714151330684309,1.0023312674090852,1.3552358218619316,0.8698456409855165,0.11011350808639178,0.2829321351971807,0.04292479454142073,0.743735349577329,-0.26882477774361074,0.2356411077956574,1.148166555496041,-0.5503202904892905,0.9616771151636231,0.3657198328743822,-0.05481070260469958,0.5727720902970069,-0.16405093332797027,-1.3855215422299396,1.6808525792258775,-0.8089803197733367,-0.4886230661038171,1.0831572967114595,-0.014818510721896981,-1.200045465757694,-1.4419692623375395,1.5230872394126944,0.4871944541353288]"
74,"[-0.4998019409706404,0.16789632576133348,-0.1,1.6554267424098412,0.8294372198635139,-1.455596958416884,-0.35778639155384434,0.06678007304335962,-0.38700800433190324,0.07352426272244575,1.6759420436485941,0.005477308565204465,0.49015352704153997,-0.019009347734834207,-1.298335733035056,-0.44405315446882165,-0.38305996668857784,0.16469149240696354,0.6108860689350463,1.141899647863197,-0.23038559936879782,-0.46634600297044665,0.24177841085324672,-0.7269982913682087,0.044719138318191916,-0.724447993130091,0.9736437975782908,-0.6652629179571354,-0.6662587081624771,0.6951407288175397,-0.4068609985177553,0.6141804831409399,0.8497246589630301,0.8951645161584972,0.14536014520337287,-2.830330536437727,1.0973998861582677,-1.2953675048707916,-0.33969607886030373,-1.6135749890687352,-2.250531998323022,0.6739891311064812,0.9639451432994348,-0.526110168404028,1.5230872394126944,0.4871944541353288]"
75,"[-1.6372822204210637,0.16789632576133348,-0.1,1.6554267424098412,-1.1935803895596906,-2.204296636985363,0.8732819158347154,-0.4345084426429088,0.8951539420266554,-1.0276528431208862,-0.15832105771800395,-1.3638498327358193,0.19882720931070044,-0.38244631513821026,0.7625146368618583,-0.44419795583535504,-0.09914657456699118,-1.8939521626800788,-1.8111612487171322,0.8703118701412993,-2.4070377504501654,-1.999530861204693,-1.366807127708552,1.08639568623501,-0.8020678933064873,-2.3049221771928976,-1.3271263585921347,-1.5446555890620586,0.25400434525350424,-2.055826763289443,0.885246956220866,-0.5418817163157865,-2.1856194508731117,0.3534538870623855,-0.3537054930588773,-1.3972981195026999,0.9473993904409963,-0.6026338621170991,-0.9394929879647693,0.2932108464940311,-2.905171167567744,0.4577682187822786,-1.4139718764300262,-0.526110168404028,1.5230872394126944,0.4871944541353288]"
76,"[1.5683440216664932,2.195629728675987,-0.1,-0.13907379136776382,-1.1935803895596906,-1.330813678655471,4.747724409109041,-0.0070940240051430995,0.5314242165045827,-0.48057122365731997,-0.15845530690958112,1.3748044498662284,0.04846523886897679,-1.39738843447705,-1.298335733035056,3.1617090241767403,0.45184144521867536,0.16469149240696354,-0.1609874187264988,-0.5402505072896635,-0.11694373755275576,-0.9380163430578832,0.6066264940257547,-0.8903756732820934,0.6261783852131823,0.4017298018822386,-0.7353422719975153,0.4013559003144812,-1.0861819141619746,0.7592413059689103,-1.028221070704254,-1.6445410488568697,-3.1678846321834113,-1.3283609729973125,-1.7381952279794168,1.0889361723459217,0.6743486140943559,-2.032880340954628,-0.8376670628743051,1.0141838451411254,-0.7565830978503647,-0.5184513715376782,0.1845632057310498,1.1020837763666589,-0.7044626536954515,0.1404368355336365]"
77,"[0.6032092391024976,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.14537252092204578,0.5733250776457353,1.195998413641901,-0.9388103074252573,-0.47005042328302066,-0.15845530690958112,1.648669878126433,2.5106425048522016,-0.8980702479547646,0.7625146368618583,3.0433617534523427,0.9386209486641094,0.16469149240696354,1.7409770867820598,-0.6339883731950244,1.1630657829622395,-0.6661650346119821,1.0112012360976164,-0.22880363341467017,-1.1111392074551487,-1.231693019715639,-1.4838512382170568,-0.9239270883025233,-1.8577319844767708,-0.9482009919475496,-0.23901359846834147,-0.7665514196410729,0.0384500076552079,-1.8013595540440497,-1.2528577428401637,1.1756130569033512,2.6694701547370863,-1.9208707996727352,0.733227056789266,0.8965821364972167,1.2788649545121562,-3.239160305801954,1.260618173542052,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
78,"[1.3959985247800655,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.020589241160632623,3.7291209794256295,0.26729547931786696,0.4418930015904191,-1.4870611261319577,-0.15845530690958112,-0.8161189762154099,1.0164204235875727,-3.233415467211752,0.7625146368618583,2.388970962388028,-2.286800522289943,0.16469149240696354,-1.809001282300002,-2.3604180648092896,-1.074313248088014,0.23457048327161012,-1.2095363250560458,0.43865636885169906,-1.1103255034109856,-0.015242353902020516,-0.2093247193496729,-0.9980758173481806,0.1564352932022541,-1.3071786017931128,-0.5383948306269587,-3.519727975948419,-1.0084484410475123,-1.2302545127705278,-1.7814281563027474,1.649448921997073,1.4520256488256906,-2.9270881967762077,0.5775903254740006,0.9398729046434204,0.6830176041039031,-0.7388351413490385,2.2196479545444285,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
79,"[1.3615294254027799,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.5197223602062853,1.210733358797318,1.2909793955614046,-0.10718833464385114,-0.3367869518752289,-0.15845530690958112,1.648669878126433,2.938234358295853,-1.171282085863185,-1.298335733035056,2.089621983496905,-2.287127571905397,0.16469149240696354,0.926458655050816,0.16405595110391116,-0.5265403919439858,-0.3218174131530972,-0.9535043496529811,-0.34087331118385006,-0.8704291300518753,-0.16637413499395254,0.48418553995924185,-0.7255605180814626,0.579574800288764,-0.5827093389838411,0.173981628620191,-1.3805135792810166,0.33395359235290967,-0.2581654053481208,0.21325962173927526,1.0340329720866495,1.3103091160915912,-2.1307123998765007,-0.24188858473149086,0.5184798432096435,0.3606871391796179,-0.7093953842324854,1.0300315958411457,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
80,"[0.6376783384797831,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.3325474405641655,0.8670328150391116,-0.1759491029731493,-0.28975380563806474,-0.7961952348863005,-0.15845530690958112,0.005477308565204465,-0.9889853690631533,-3.029412463574563,0.7625146368618583,-0.44398284226680307,0.46648716560753745,2.223335147494006,-0.463766521621359,0.4423898229106432,-0.3272205295790823,0.634169484112174,-1.089693829526414,-0.18419814836715181,-0.14524624298082864,-2.0115087124855773,-1.0367733421549852,-1.994876543321933,-0.9396806853946414,-1.0637032712495136,-0.6110423625215267,-2.503090914134665,0.17526892839627148,-0.38178966458699026,-0.17639008236362266,0.8171043988429337,0.8568177548508824,-1.4323543039797662,-0.4810758267030573,-1.022627415033219,-0.5209075044785549,-0.16647320141061894,1.2333332160250865,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
81,"[0.32745644408421304,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.7692889197291116,0.9607693269731679,0.6419426857781307,-0.5528892234476631,-0.9540072405007908,-0.15845362623267892,0.8270735933458188,-0.9895182142959061,-3.1265222415048766,0.7625146368618583,1.9712747127725077,-2.287160753615653,0.16469149240696354,-1.0309442777483506,0.7312940123571118,0.4065489778339592,-0.7260264524008055,-0.8411669143312953,-1.0167856746925013,-0.597000011011258,-0.7878094601819691,0.3656177292467095,-0.14897958746744433,-0.07372941013922477,-0.23477918001831644,-0.9820339245234924,-3.098063211176975,-2.342658086893747,-3.3300016363335225,-1.358475927461531,-0.08222731410399246,0.9209928732018541,-0.6355222533018405,1.5313157211151158,1.3576357700573334,0.035847265443884946,-2.8646227131548616,0.18805226620525956,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
82,"[1.430467624157351,-0.643197035404528,-0.1,-0.13907379136776382,0.8294372198635139,-0.3325474405641655,0.6858088919666029,-2.477971501428849,-1.3415785754285559,-0.754112033389103,-0.15845530690958112,1.648669878126433,-0.2992468177775091,-0.7563914301534486,-1.298335733035056,-0.44175652125635234,-0.8101886714668757,0.16469149240696354,1.3187921404920433,-0.8745193153724506,0.029013644244022727,0.8877468689391097,-0.6904894262274445,0.04869148945309385,-0.7963262782722308,-0.10146491064927197,-1.0701615402490288,-1.4791609406889805,-0.9431341015972247,-1.4069354587447638,0.09563852939519578,-0.9840296345077485,0.09438618748508987,-0.1883366881018339,0.37219079345319617,1.5522915721921575,2.204036591226646,-0.5268755012312597,0.5602161754794596,-1.1632315876523178,0.48841245481264406,-2.1317887314372594,1.7341621030343968,-1.5437313838857074,0.13086855622010327,0.4871944541353288]"
83,"[-0.4653328415933548,-0.1565410187050111,-0.1,1.2068016089654399,0.8294372198635139,0.41615223800431345,-0.25780532816956353,0.2989558066243681,-0.2983729162276175,-2.375051747057404,-0.15845530690958112,-0.8161189762154099,-0.9882335592109447,-0.5933339672107575,0.7625146368618583,-0.44385335642942225,0.6293445251399361,-1.8939521626800788,-0.8049260741789479,-0.13821131254979824,0.44224280109638714,0.6496980093663541,-0.9986960708646944,-0.8421144390496524,-1.2606827711127369,-0.20591141967079313,-0.37316922266122704,-0.6669492799360031,0.4347035373819376,-0.4853566426928773,0.2467137063546589,-0.22039021027025404,-0.03676112678104151,-0.17439404063474215,-0.47452614812764116,0.11296931046856427,0.245628940417825,-0.16063307084374906,-0.02059737586360277,-1.3573083422372358,-0.5590088437395978,0.49119232608031527,-1.7343745249379585,0.28798680398131543,-1.2613501269724878,0.660573263436175]"
84,"[-1.1202457297617805,-0.1565410187050111,-0.1,1.2068016089654399,0.8294372198635139,-0.4573307203255787,-0.3577870164639239,-0.20760943027965045,-0.263472850286555,0.36459973974472776,-0.15844691377310008,1.1009390216060235,-0.9897475163008298,0.365081564974616,0.7625146368618583,-0.44417010941871404,-0.115642079952884,0.16469149240696354,-0.6983137140047014,-1.521646461349013,0.9906986026794469,1.8964768427946184,-1.250244588151968,-1.2979089431094375,-1.6727942711299404,-0.7926737264679938,-1.973325513505135,-1.0996862000478207,0.5464708426881024,-0.931440008175865,-1.020013200583397,0.8724174863068305,0.16014940942195485,0.4068576591336752,-0.7510389207605207,-0.8627273723777356,-0.7588681067564875,0.04948434514299162,-0.5749845875559348,0.9408886261019472,-0.3041211396071434,0.7522957454879451,0.12381188792277037,0.28798680398131543,-1.2613501269724878,0.660573263436175]"
85,"[-0.36192554346149813,-0.1565410187050111,-0.1,1.2068016089654399,0.8294372198635139,-0.0829808810413392,-0.357635338289413,0.008736139648107481,-0.704236895028676,0.3190096047894306,-0.15845530690958112,0.553208165085614,0.13304384724244633,0.1567303623256218,0.7625146368618583,-0.44411023962293583,0.7621667159061136,0.16469149240696354,0.6919114626674736,0.2726514657437238,-1.7232665955274475,-0.8049081299745099,-1.8049393355403767,-0.6726621589304527,-1.308648931477954,0.43554017836743475,1.267249285503783,-0.8443318798922032,0.6501775911592427,-0.3858457801678601,1.9797318773688777,0.42827628558159486,-0.49414238317237735,-0.13290750325166154,0.0495087808666448,0.08175000085155888,-0.6711234587941024,-0.24310396329535325,-1.7700916408546223,-0.15441233382721456,-0.7774676901358069,0.5201880738316624,0.21833862668842705,0.28798680398131543,-1.2613501269724878,0.660573263436175]"
86,"[-0.7755547359889249,1.1412083591603672,-0.1,2.7769895760208443,0.8294372198635139,-1.0812471191326445,-0.35778769761591067,-2.4796600522185286,-0.41721562443215066,0.943243760331192,-0.15845530690958112,1.648669878126433,-0.9895468770465217,0.490454636481663,0.7625146368618583,0.7529939847272406,-2.287390355794666,0.16469149240696354,-0.38700562229590146,0.748437314921836,0.7666737992363718,-0.18268726486365636,1.5538122831117251,1.3373604649875268,1.2435831217639948,2.0694956211431714,0.1704545033286217,0.6196596596977093,-0.35016881330657756,0.5185957657871886,0.8590500133213927,0.915412898539359,0.16935326617705274,0.43039789479311946,0.4849604386213323,-1.3927376927042123,0.11853885063611654,1.0671612513882063,-0.6959787654239604,-1.072812831285559,0.239177770549414,-0.4319248492360314,-0.10079431258440728,1.3056080194629949,-1.5397938636110062,0.660573263436175]"
87,"[-1.1891839285163517,-0.23765035482159724,-0.1,0.08523877535443682,-1.1935803895596906,-0.020589241160632623,-0.3577711937407095,-2.4790268456723985,-0.7068438093846844,-0.1649472124283395,-0.15845530690958112,0.8270735933458188,-0.5012957155585753,0.022298542877314215,0.7625146368618583,-0.44416802093746593,-0.6699101308673061,0.16469149240696354,-0.9840348392716821,-0.10983507926997474,-1.3563909454825587,-1.5407997783638392,0.6179873112241003,-1.639772445725334,-1.1492524358138092,-1.3593848701057978,0.571099121183753,0.7455224323014605,-1.1978844999998468,-0.4742933774507726,-1.727458791113772,0.18429778999276647,-0.4459951325470808,0.28468333279265395,0.3612350698106496,0.1933496096473594,0.8312598352120983,1.6363819327032187,0.661155155576779,1.0967911221394917,-0.21452050708251266,-1.1879282209678346,0.19467579744177008,-0.42434804685586014,-1.2613501269724878,0.660573263436175]"
88,"[-0.9134311334980671,-0.23765035482159724,-0.1,0.08523877535443682,0.8294372198635139,0.3537605981236069,-0.35763721301965173,-0.04930779374714465,-0.5861925543456704,0.5153978784430184,-0.15845530690958112,0.8270735933458188,0.06256167359788838,0.37957556168063306,0.7625146368618583,0.3561825475924964,1.4877019736074761,0.16469149240696354,-0.054375058552252234,0.7288674626196793,-0.23641447493491452,0.03362716453698654,2.2883246186451163,-0.4124486198793316,0.7449221315252926,-0.6535727509303274,0.1829963634697346,0.3031702452465237,-0.9497890443052989,0.6056999336638057,-0.8171121463461453,0.7213896568656909,1.5995203684140622,1.1220672371588447,0.7525858936585804,1.7326213626893219,-0.07004367186349912,1.3271247437191651,1.119604407560886,-0.642005657788755,-0.02397334628649599,-0.009211527562259687,0.8216116534464084,-0.42434804685586014,-1.2613501269724878,0.660573263436175]"
89,"[-1.5338749222892072,-0.23765035482159724,-0.1,0.08523877535443682,-1.1935803895596906,-0.5821140000869919,-0.3577712562317174,0.27784892175336734,-0.2608333495010965,0.9783130949121899,-0.15824214788784027,-0.2683881196950003,-0.407319484032498,0.5053109831053304,0.7625146368618583,-0.4439612612939063,0.8012410402248354,0.16469149240696354,0.0991467400986628,-0.23032415365854747,0.0896938128013553,-0.6652779032184101,0.7469838167030387,2.655970557385601,-0.10450982687571349,-0.6237478140753672,-1.2159872952740607,1.0455555579089553,1.8287883737215005,0.3820750894160928,0.5972137518289279,0.6032278429975783,-0.9128217315930082,-0.15924050432777256,1.00952604471252,-0.3505996072041531,-1.2128891810525395,2.303874909235994,-0.6214437050378135,1.4516801092333302,0.421548507865011,0.6789438464151193,2.0252907377506046,-0.42434804685586014,-1.2613501269724878,0.660573263436175]"
90,"[1.0857766303844953,2.3578484009091594,-0.1,-0.13907379136776382,0.8294372198635139,-1.0812471191326445,-0.353541552358213,2.0613806933529326,1.1414258825958243,-0.6208485619813113,-0.15845530690958112,0.005477308565204465,-0.9890793452946793,-0.9545968351082309,-1.298335733035056,2.8553984411253586,0.05667397399732134,0.16469149240696354,0.5938280913071668,-0.004652562023704218,-0.0018927699749307415,-0.9109326515584293,0.4661250390537238,-0.6403460511173863,0.7448792352370379,-1.1486031861104824,-0.7189150821790398,0.13329784854527715,-0.7957461575162154,2.0455464301756097,-0.3408895716238963,-1.8571073545539465,-1.4341412654877868,-3.7389505148768265,-2.5057618299268407,2.4008503854793193,1.4781666189863498,-2.5644020305751893,-0.6558470499586229,0.13584672174821857,1.0827351766003206,-2.4547215438425503,0.9998312376809602,0.5932731686258192,0.4093122928586215,0.1404368355336365]"
91,"[-1.3270603260254938,-0.7243063715211141,-0.1,-0.8120114915343657,0.8294372198635139,0.3537605981236069,-0.35778144226601427,-1.0518848251196815,1.2832746099921317,0.7889386881748015,-0.15845515318913275,0.2793427368254092,-0.10189673157274685,0.04150308851278673,-1.298335733035056,0.5093378391181871,0.5173085781548258,0.16469149240696354,-1.8104085654543018,-0.34952352040842216,1.0863530093343365,0.8435091152964005,-0.01340546525414607,0.6105451270266734,0.6613044556716706,2.068816417314042,0.14276088973176984,-0.4233001605306196,0.7104515664551248,-0.46150749912117817,0.5377243189541222,0.010191730405095295,-0.1922866718329806,0.3740183407859447,0.38868110945852885,-0.16353058862107078,-1.3983972318208866,0.13377751410100608,-0.2259170522837712,-0.21266604044988854,-1.0437026437140748,1.1781362039815138,-0.26721380349738444,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
92,"[-0.017234549688642534,-0.7243063715211141,-0.1,-0.8120114915343657,-1.1935803895596906,0.5409355177657266,-0.35778667276338016,-0.2709300848926528,0.6020064226935102,0.911681359208294,-0.15845530690958112,0.553208165085614,-0.45430759979553664,1.6767447848790356,0.7625146368618583,-0.443819244569037,0.7650653480664092,0.16469149240696354,-0.3912701167028713,0.1760620114081244,0.5092359385994822,2.606812797630084,0.0679488009571907,-0.32339407316446156,0.18016826660529336,-0.47743160346820146,1.0233496964787312,-0.6898674541439861,0.7880512837673701,0.28328802334911346,-0.25616601531776834,0.9756690609121519,1.3527369559126916,0.8308944372259949,-0.445415075695424,-0.2104072809206634,-0.3041901544602525,-0.23243964224188518,-0.47532123885843447,-0.31219395357238056,0.11823246677848318,0.8760121529780667,0.4486638355245081,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
93,"[-0.25851824532964146,-0.7243063715211141,-0.1,-0.8120114915343657,-1.1935803895596906,0.04180239872007396,-0.3577721311058288,0.05622663060785922,0.4462432899220081,0.911681359208294,-0.15845373896100773,1.648669878126433,-0.9895684915797726,-0.04654794147626649,-1.298335733035056,-0.44385822955233445,0.28471241723952534,0.16469149240696354,-0.28892225093559465,-1.0201290530313176,-0.12852926485855962,1.0306227095766611,-0.021028094187385275,1.865411049241868,0.044800131824852284,1.4272711878891906,1.1823568249344505,-0.3596585620848283,-0.22048505780598607,-0.6475090990650648,1.8372564574782246,0.13334743284327435,-0.7219128899374575,0.48136710773479857,-0.24468353969679704,0.4097400601304904,-1.4526729589668144,0.7358570251572512,-0.5754713409622829,-0.10211994112172575,-0.7203146937532753,1.4125280950178956,-0.43823361200890737,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
