,std_features
20,"[-0.844492934743496,1.060099023043781,-0.1,-0.8120114915343657,-1.1935803895596906,0.10419403860078054,-0.3577874976446852,-0.9252435158936768,1.3813434694222229,0.0033855935604500875,-0.15845474941675503,-1.0899844044756146,-0.21466820940403958,-0.5621718742928209,0.7625146368618583,-0.44335769021321186,1.4861573077852135,-1.8939521626800788,-0.18657438516831795,0.8944940486766774,1.392268364344218,0.36529168379043636,1.5177353837989829,-0.026476721677651322,0.46550917361948563,0.8630150663952607,0.4221909771293149,1.1485034998215444,0.069547772902168,0.4300681418227734,-0.620015423654898,-0.5055900261424081,0.002917159692202578,-0.9949695575967501,-0.21136293523414845,-0.4818808714367441,-0.8739030075280199,-0.4696245421033695,0.12081159370392339,0.3782641911454346,0.20308836664511873,0.2764146063622963,-0.6164877131906799,-1.0349207761448678,1.2446435027741762,0.31381564483448265]"
21,"[-0.051703649065928094,-0.7243063715211141,-0.1,-0.8120114915343657,-1.1935803895596906,1.0400686368113792,-0.35778809755836155,-0.23399303636840144,-0.06275673808863289,0.7363346863033048,-0.15845530690958112,-1.3638498327358193,0.4478642228548052,1.6765273749284453,-1.298335733035056,-0.4437148205066331,0.4591833753615294,0.16469149240696354,-0.1609874187264988,0.8310810731611467,-0.3478646480405335,-0.030851156563775305,1.3531829308206968,-0.09587365395092169,1.3152714464071988,-0.11455049095415769,2.1711090164180145,1.213797395492889,-0.5398828925137885,-0.022513409145986926,-0.9399632077465915,0.8039188397307493,0.5918036209902081,0.8633365029298847,-0.17238866659162788,0.6575814580907736,-1.1762519755055216,-0.10949666041967368,-0.1871534440096469,0.9094813771411496,0.7863965419891011,0.9063179795107499,-2.460664413246639,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
22,"[-0.8100238353662104,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,0.3537605981236069,-0.3577875663847939,-2.479237914521109,0.6151876334060777,0.48734241077822016,-0.15845530690958112,-1.3638498327358193,-0.2757527598959898,0.4092882549279679,0.7625146368618583,-0.4440823932062947,-2.2872894757675084,0.16469149240696354,0.743085395551112,-0.12616740981884705,0.1420392086212677,2.951616629578873,0.025189276481840706,-0.4240430123570146,0.34983414175303856,-0.32261579261698,0.6903728714682408,-0.6215738844233091,0.07450367618842411,-1.0374458816394156,-1.3123719793892321,0.8602726847904463,0.7528312926300768,0.07991815817628627,-0.37033899848452556,-0.992077903798454,-0.1688227580339111,0.4673240310928332,-0.23455329457493904,-0.887826078400829,-0.08131096702719876,0.5430194616090278,-0.20771361886679782,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
23,"[1.2236530278936377,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,0.10419403860078054,-0.35777906760771194,0.7210935040443837,2.120240757203355,0.473314676945821,-0.1584462886432767,-0.2683881196950003,0.44316541127850134,-0.43281295369161926,-1.298335733035056,-0.4437503246878504,0.26564246881652787,0.16469149240696354,-0.9797703448647123,0.5535668205704696,1.228653614864574,0.5396507015253931,0.4946125199656727,1.9998182875002366,1.005364263416418,0.4517423547171362,0.7255460195959722,-0.5685948612912064,0.011679265430345741,-0.9326616013502476,0.428791030078054,-0.24231582230579438,-1.2110322882501015,-0.6212232998355881,0.11564232067818185,-0.8350778873738107,-1.0977980544145793,0.8588498698856716,0.5338239263450877,0.3005926133653868,0.02089854921490465,0.20946902368875567,0.32750190933068474,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
24,"[0.8100238353662109,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,-0.4573307203255787,2.9729797831575757,-1.368488098184693,-0.909287002343462,-1.111819246115281,-0.15816426286066573,1.1009390216060235,-0.9895962145680728,-2.0351242895417974,-1.298335733035056,-0.4441610593333057,1.1415824097300717,-6.011239472854164,-1.8111177508741811,-2.1236600362683884,-2.019400881465223,1.2047828221631764,-1.5685329804016583,0.569757784244206,0.5362363532822415,-2.223760354260353,-1.607886887867739,-2.2047956808445384,-0.6530920434734436,-1.765614041399519,-2.0769476623457046,-1.8038890453811396,-3.1473681248958805,-0.14997467105880916,-0.7927423791168747,2.7203783396853187,-0.9565463855085815,-0.6355130279038871,-0.008303846204235174,-1.0043282166492846,-1.9445625095757797,1.6480481780601437,1.308729902692595,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
25,"[0.9134311334980676,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,0.2289773183621937,-0.35774494751736796,0.3411695763663697,1.235274799412127,0.3155026713313308,-0.15845530690958112,0.2793427368254092,2.115942332442677,0.02773379164207059,-1.298335733035056,-0.44400024627720375,0.6861729714404686,0.16469149240696354,0.3806033709586737,-0.11230669667495378,0.26466288811711175,0.16894180909021086,0.018711690520519676,0.41192370554363605,-0.28837682032382755,0.698569049275741,-1.2835236900069185,-0.8504865564872954,0.10009663465746892,-0.5051756056934241,1.410735560720028,0.3792854894588479,-0.6894232010885445,-0.09426573984455175,-0.10305666325086942,0.2639885792971559,-0.05969059001713159,0.4127281319947127,-0.3995917220452803,0.16025081073248595,-0.28480267463762454,-0.20660698726731622,-0.3736013069284303,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
26,"[1.67175131979835,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,-0.020589241160632623,-0.35778834127329256,-0.3395274607234053,1.287673777967896,1.0028616291188883,-0.1584529396146762,0.2793427368254092,0.8942513226036722,0.20093705227897363,0.7625146368618583,0.9896885261760352,1.0112011723620378,0.16469149240696354,-0.0799620249940714,0.5948238890829447,-0.1320122122427381,-0.18795632534950793,0.38035768566112144,0.6701891029378662,3.5146869219934325,1.7973517427419181,0.2548271319190579,0.2230619442228369,0.42664928956562403,0.6343205924235865,-0.013495760485711793,0.6057522779216531,1.3605349989638533,1.0606952056182688,0.6091393785765614,-1.355146744013811,-0.21675193599552262,0.20886132152063439,0.3782572191080236,-0.6795503993520455,-0.2850164053198585,0.5745833415357348,0.28003378860397915,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
27,"[1.120245729761781,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,0.2289773183621937,-0.35776638193309684,0.7633072737863852,0.5196442222583697,0.6311266825603112,-0.15845530690958112,-1.3638498327358193,-0.9896013832608067,1.6766795618938586,0.7625146368618583,-0.4441262513125044,-0.43849630675423157,0.16469149240696354,-0.43391506077256997,0.41605154208210127,0.23287234281027686,1.007531822304033,-0.967645230575964,-0.8966331709980424,0.10863794430647725,-1.0009751234223363,0.670518199603808,-0.8105975207396304,1.2186220684453333,0.125453325696622,-1.131120807717207,0.4781699984719167,0.6437044756202465,0.6599766363151929,0.6991064503959626,0.6535005344662176,-0.2615868484041969,0.2809253402102168,-0.4788205155947055,-0.4198557952845325,-0.012950368729098816,-0.07351359986827521,-0.6158677839022724,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
28,"[1.2925912266482087,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,-0.4573307203255787,-0.3577771303864653,0.23035843079361562,-1.407093591837992,0.473314676945821,-0.15824624709979682,-0.8161189762154099,0.3961772955154627,-0.6969660436587789,-1.298335733035056,-0.4439013914981281,0.7630820734304175,0.16469149240696354,-0.1823098907613481,1.492971629717741,-0.7012574267246736,0.1306788809755019,-1.4664874843620255,-1.5271989380562823,-0.4690733637295304,-1.174119884544255,0.5165295761581258,-0.749636850507656,0.2510819080114067,0.7823867893294844,-0.27340236613875596,-0.40103946216933645,0.18868814526995184,0.7316638030719576,1.6875936020644529,1.1877166130975128,-1.4078296280256575,-0.40920578358951737,-0.6364428918097282,2.4925661663184977,0.8427925824179643,0.5316372369325926,-1.3161293917629648,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
29,"[1.6372822204210644,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,-0.14537252092204578,0.7358016983314328,0.7210935040443837,1.1973767819616548,0.571508813772615,-0.15845517061078354,1.3748044498662284,-0.3697289914220671,-0.06321603768818602,-1.298335733035056,0.5023762349579285,0.22559557712823314,0.16469149240696354,0.39766134858655316,0.947927716274108,-0.2700735602194279,-0.627849729778876,-0.5857543560488044,-0.22266932771672343,2.3637502381203936,-0.14753290515687842,0.35807308096556323,0.8081260063260324,-0.060382200445770653,1.5420955800025977,-0.5589368159869944,-0.2772282774195039,-1.3261593194634698,1.0933964918720647,1.857985544489188,0.9326026229446277,-0.573895053807056,0.4764828206000407,-0.5920024418257749,0.8569211324106419,-0.37844300006760817,0.48608000780919963,0.4275005662356636,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
