,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date_precision,artist_name,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,pitch_0,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,timbre_0,timbre_1,timbre_2,timbre_3,timbre_4,timbre_5,timbre_6,timbre_7,timbre_8,timbre_9,timbre_10,timbre_11,day,month,year
10,7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),True,78,Tickets To My Downfall,day,Machine Gun Kelly,0.00473,731.0,139461,675.0,0.0,5,141.0,-5134.0,0,0.0434,124939.0,4,298.0,0.5172065573770496,0.7429557377049177,0.3517180327868852,0.36922295081967227,0.29610819672131156,0.40515409836065547,0.20814262295081964,0.2177786885245902,0.24073278688524577,0.17290000000000003,0.2135557377049183,0.15732131147541004,50.720377049180335,55.14843278688525,-21.408616393442635,-11.42632295081968,12.807904918032788,-26.93383114754101,7.576196721311476,-3.428693442622949,-17.693142622950802,6.060418032786882,-16.87453442622953,-5.256732786885253,25,9,2020
11,2iVsPIS2yjS4xhs5Rdy65O,jawbreaker,True,58,Tickets To My Downfall,day,Machine Gun Kelly,0.000615,707.0,117580,576.0,0.0,2,405.0,-5665.0,1,0.0364,128.08,4,632.0,0.4519908045977009,0.7121310344827588,0.5433770114942525,0.41516321839080467,0.3863103448275862,0.3265586206896552,0.34130114942528705,0.20710114942528748,0.23317011494252868,0.27989425287356295,0.20971264367816084,0.28123908045977025,49.534777011494285,59.319351724137974,-16.31874252873566,-9.702034482758618,1.1820206896551633,-22.494885057471258,7.824880459770116,4.0658321839080465,-16.21405977011494,5.804618390804605,-13.939137931034487,-5.227291954022988,25,9,2020
12,1eTdTVIxLlhHwwA50vEzZa,nothing inside (feat. iann dior),True,63,Tickets To My Downfall,day,Machine Gun Kelly,0.00047,561.0,172235,0.81,0.0,8,157.0,-4754.0,0,0.0461,87.5,4,508.0,0.4996374045801524,0.5379287531806622,0.29031933842239177,0.3961234096692113,0.3988206106870231,0.3556781170483464,0.4622251908396948,0.3857366412213746,0.4118422391857512,0.32302035623409675,0.31633333333333336,0.35979389312977095,51.49677226463108,49.15424554707388,-13.21028117048348,-11.636991094147575,5.026529262086515,-31.56137404580153,7.586388040712469,-5.031590330788806,-9.064557251908392,6.995422391857501,-12.36405597964376,-7.370554707379134,25,9,2020
13,5rGUAs7Oamox7PY4P42Qzv,banyan tree - interlude,True,50,Tickets To My Downfall,day,Machine Gun Kelly,129.0,477.0,91143,592.0,0.0,7,257.0,-8693.0,1,0.0554,82387.0,4,249.0,0.27625850340136043,0.27976190476190455,0.33989455782312933,0.23751020408163276,0.3515850340136053,0.2553333333333333,0.33176190476190487,0.6659489795918365,0.3829489795918367,0.30795578231292486,0.22786394557823111,0.26435714285714274,44.04258843537418,28.65453741496599,10.680316326530619,-11.967605442176874,24.20579251700681,-24.019863945578226,-3.40141836734694,1.8830544217687073,-3.842891156462584,5.323687074829931,-11.665564625850337,-3.785309523809526,25,9,2020
14,0RFgKcpWImLWmK9WSSHAiC,play this when i'm gone,True,60,Tickets To My Downfall,day,Machine Gun Kelly,514.0,677.0,202213,443.0,0.0,0,107.0,-9375.0,1,27.0,137089.0,4,629.0,0.5476535433070869,0.2627677165354329,0.2836509186351709,0.20150787401574785,0.4074199475065621,0.3315039370078744,0.21760498687664068,0.33682283464566914,0.20527427821522304,0.29141207349081355,0.13797375328084,0.22911417322834646,44.993593175853015,11.311775590551193,-3.6166207349081327,-2.951362204724409,23.563501312335987,-19.845190288713898,-4.954796587926511,-9.54960629921259,-13.805867454068249,2.2173385826771654,-10.071198162729655,6.346774278215233,25,9,2020
15,2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker),True,74,Hotel Diablo,day,Machine Gun Kelly,0.0257,628.0,169397,744.0,0.0,7,313.0,-4718.0,1,0.0379,119921.0,4,277.0,0.42668863261943984,0.5831334431630966,0.4325601317957165,0.2730939044481055,0.31775123558484314,0.25660626029654043,0.30774958813838543,0.44460790774299835,0.23480065897858324,0.31132784184514,0.17918286655683688,0.2933344316309717,51.687696869851706,37.42566556836902,16.95418286655683,-5.603601317957162,25.392074135090613,-22.338388797364093,8.304532125205935,1.9870955518945663,-7.141906095551892,3.7824761120263544,-14.245204283360803,-5.406538714991762,5,7,2019
16,37AGgp9VP8TVJBfEat74Bj,Candy (feat. Trippie Redd),True,70,Hotel Diablo,day,Machine Gun Kelly,0.00829,744.0,156719,638.0,0.0,5,182.0,-4.86,0,49.0,98019.0,4,0.48,0.627309121621621,0.475092905405405,0.2459729729729732,0.32461655405405365,0.30394594594594604,0.5285337837837842,0.31283614864864884,0.35494087837837823,0.3027652027027029,0.21769932432432434,0.30140540540540534,0.2396925675675679,49.01313006756755,63.88718412162164,-20.79620945945945,-18.550217905405397,15.653819256756757,-12.621371621621618,-4.978229729729738,-0.9670658783783789,-16.760771959459476,-3.857869932432432,-15.855005067567575,-8.624040540540534,5,7,2019
17,63h44N1oLElnzut7RxZt6Z,why are you here,True,63,why are you here,day,Machine Gun Kelly,0.00607,559.0,175777,889.0,0.0,10,476.0,-3995.0,1,0.0434,129063.0,4,628.0,0.4813948220064725,0.46179611650485425,0.4609822006472494,0.24721359223300984,0.27913915857605154,0.6084482200647255,0.31977022653721676,0.3034919093851133,0.25945145631067973,0.3609288025889968,0.4692152103559868,0.3280372168284791,53.27405177993526,26.985367313915845,7.928674757281557,-13.038996763754039,14.19963106796115,-26.979482200647237,9.37045954692555,-3.67740453074434,-6.304223300970879,0.7454352750809062,-11.351338187702268,-5.854690938511327,18,12,2019
18,7fQox8Ere1HDm0jhSnsFHu,Obey (with YUNGBLUD),True,54,Obey (with YUNGBLUD),day,Bring Me The Horizon,0.000103,462.0,220539,0.99,0.0,1,374.0,-3175.0,0,211.0,137061.0,4,204.0,0.6497407912687585,0.6526944065484305,0.4154802182810371,0.5388458390177358,0.4247053206002723,0.38389495225102366,0.45296316507503426,0.38700409276944064,0.411416098226466,0.4345211459754431,0.5016084583901774,0.4938417462482942,54.522443383356105,70.73030422919507,28.315519781718955,-8.160459754433832,9.180657571623456,-34.20572987721696,9.064858117326056,0.27248158253751686,-9.839446111869028,5.363806275579813,-7.848431105047751,-5.86399863574352,2,9,2020
19,5OxclJsdFESni44YlpNpkR,Parasite Eve,True,63,Parasite Eve,day,Bring Me The Horizon,0.0289,589.0,291813,797.0,4.35e-06,9,383.0,-5464.0,1,0.15,102489.0,4,232.0,0.5934179943767579,0.5922521087160263,0.39647891283973735,0.36936363636363606,0.5374020618556703,0.39585098406747943,0.3606682286785381,0.3564254920337393,0.35242924086223104,0.39100843486410486,0.3161621368322406,0.35465229615745086,48.4927047797563,20.70962886597937,7.073802249297102,-10.812689784442362,18.078245548266203,-26.172410496719785,0.12729709465791986,-2.82080880974695,0.3837947516401111,4.709452671040295,-11.439838800374885,-5.182299906279284,25,6,2020
