id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri,track_genre
6mM3zAPOuNkNDytJCDGz96,Naïve - BBC Radio 1's Jo Whiley's Live Lounge,False,46,"Alright, Still (Deluxe)",2006-07-14,day,Lily Allen,"[0.25942144638403986, 0.32887032418952544, 0.19085910224438912, 0.3627556109725686, 0.3908852867830422, 0.21096259351620936, 0.38605112219451393, 0.18878553615960117, 0.282885286783042, 0.19398129675810458, 0.23336783042393996, 0.2972044887780546]","[39.502190773067326, -27.158048628428933, -43.08180798004989, -12.306806733167079, 36.95530548628427, -6.327355361596007, -1.9074326683291747, 0.5137643391521176, 3.8324812967581043, -0.6143578553615959, -20.3016072319202, 1.8555286783042382]",0.537,0.681,226307,0.258,4.91e-06,11,0.0826,-14.104,1,0.106,96.885,4,0.43,spotify:track:6mM3zAPOuNkNDytJCDGz96,acoustic
0wWsTchZIG0Oypf8BDnVMk,Below My Feet,False,0,Babel (Deluxe Version),2012-09-21,day,Mumford & Sons,"[0.44283821932681866, 0.42224647122692655, 0.20474267100977211, 0.3099446254071661, 0.30742236699239955, 0.21035504885993492, 0.3073745928338762, 0.20730076004343126, 0.2973637350705757, 0.17671335504886015, 0.2720608034744842, 0.5743300760043422]","[42.4676167209555, 1.887087947882776, 7.348842562432137, -16.245277958740488, 1.0190314875135686, -23.416589576547235, -9.41379587404996, -4.376465798045608, -3.642961997828446, -1.0342106406080358, -8.489791530944624, -3.918691639522259]",0.0709,0.447,292165,0.452,0.00563,11,0.0834,-9.061,1,0.0388,128.844,4,0.149,spotify:track:0wWsTchZIG0Oypf8BDnVMk,acoustic
6Pw4WKCH1bfULx3vrxYMwe,Moves Like Jagger,False,0,What They Wrote,2012-01-09,day,Tyler Ward,"[0.38983647798742105, 0.6893888888888888, 0.3421436058700213, 0.3815115303983229, 0.2912054507337525, 0.2656698113207549, 0.37906603773584885, 0.31080188679245263, 0.47813102725366863, 0.2887830188679249, 0.28301991614255767, 0.3885744234800835]","[47.82122431865821, 69.00869496855344, -5.397465408805046, 6.637502096436054, 18.212465408805034, -9.152900419287217, -11.41221488469602, -9.253551362683426, -12.542737945492657, 0.5130566037735852, -11.4601928721174, 2.0259654088050323]",0.161,0.829,232246,0.659,0,8,0.0769,-6.958,0,0.0639,110.024,4,0.962,spotify:track:6Pw4WKCH1bfULx3vrxYMwe,acoustic
4Roqb07dEs3cP9FCsjqO7j,You Learn,False,0,The Burning Heart,2011-01-01,day,Takida,"[0.5137805907173, 0.29009563994374155, 0.4305921237693389, 0.14465119549929673, 0.2269521800281293, 0.43233614627285516, 0.19097609001406432, 0.34989873417721495, 0.13842053445850921, 0.3552981715893105, 0.3211518987341775, 0.23730801687763742]","[47.02720956399431, -32.58526019690579, -5.666361462728549, -20.494701828410694, 17.460282700421946, -16.099990154711666, -9.23571308016878, -3.5643445850914195, -5.6529929676512, -1.6732095639943714, -11.675263009845281, 1.3182011251758095]",0.824,0.641,201573,0.558,2.35e-06,2,0.0856,-7.362,0,0.0287,127.998,4,0.37,spotify:track:4Roqb07dEs3cP9FCsjqO7j,acoustic
2CjMm3TDd9BS8xAcvbe6yY,Let Her Go (feat. Hannah Trigwell),False,0,"Cover Collaborations, Vol. 3",2014-05-30,day,Boyce Avenue,"[0.11461221374045806, 0.38954351145038174, 0.1275358778625953, 0.34678625954198483, 0.28187328244274823, 0.1781465648854964, 0.37603053435114525, 0.1836580152671756, 0.3616946564885496, 0.11396793893129782, 0.2008122137404579, 0.3893954198473279]","[46.08249312977099, -13.258085496183206, -30.203992366412205, -28.81265038167942, 36.28948244274807, -18.631024427480924, -22.08716946564887, -8.492546564885487, -2.475117557251908, 1.2951587786259533, -9.529912977099226, 0.9805007633587791]",0.857,0.597,219650,0.333,0,11,0.116,-8.586,1,0.03,134.921,4,0.307,spotify:track:2CjMm3TDd9BS8xAcvbe6yY,acoustic
1LiteNBpuy5ltDtESG1rmr,Feel the Same,False,0,From the Top of Willamette Mountain,2012-11-27,day,Joshua James,"[0.3947117962466486, 0.4952747989276136, 0.21006434316353872, 0.3414597855227883, 0.43099731903485283, 0.2436166219839142, 0.36206702412868613, 0.29470375335120635, 0.44698927613941036, 0.32097184986595184, 0.2785603217158174, 0.42895308310991936]","[45.08473324396783, -68.44658847184985, 13.844749329758708, -8.788392761394094, 30.757686327077753, -25.97936729222522, 9.439914209115278, -1.7276943699731908, 0.79103887399464, -5.351568364611257, -7.111912868632716, -5.184513404825736]",0.747,0.346,232001,0.562,0.237,1,0.148,-9.289,0,0.0442,141.354,4,0.261,spotify:track:1LiteNBpuy5ltDtESG1rmr,acoustic
13ETkZ90sElK5xJuB4cUEt,Bonfire Heart,False,0,Moon Landing (Deluxe Edition),2013-10-18,day,James Blunt,"[0.6657987951807228, 0.4388722891566272, 0.3346108433734937, 0.27791686746987915, 0.419803614457831, 0.34617469879518104, 0.2714036144578311, 0.4723915662650604, 0.3096879518072288, 0.42875783132530043, 0.23955903614457819, 0.33489759036144584]","[50.93957108433733, 41.725436144578296, 6.723345783132524, -11.796955421686736, 19.343191566265077, -27.19013253012048, 1.6892385542168653, -1.2415337349397602, -5.704754216867477, 1.9308469879518093, -7.360536144578316, 4.494836144578312]",0.181,0.575,238000,0.821,0,0,0.124,-5.7,1,0.0527,118.021,4,0.449,spotify:track:13ETkZ90sElK5xJuB4cUEt,acoustic
6Xz1aikik2Qy81JXxpHvNB,Utan dina andetag,False,42,Pärlor och Svin,2010-03-08,day,Carolina Wallin Pérez,"[0.07779304347826088, 0.2604539130434785, 0.08148521739130443, 0.3302973913043475, 0.24527304347826084, 0.0933669565217392, 0.39341565217391306, 0.10070782608695655, 0.38467652173913014, 0.0864713043478261, 0.1978347826086956, 0.42347478260869564]","[46.036949565217405, -28.707492173913078, 13.080177391304366, -15.452702608695644, 16.69004, -9.182486956521732, -7.526897391304337, -4.569984347826091, -4.103394782608696, -8.304766956521735, -9.349186086956513, 8.144744347826087]",0.902,0.595,260600,0.238,0.000506,11,0.114,-7.565,1,0.0287,91.184,4,0.153,spotify:track:6Xz1aikik2Qy81JXxpHvNB,acoustic
3piY5aMfwEEmXMV6I9kpoi,Imagine,False,61,Instant Karma: The Amnesty International Campaign To Save Darfur (Standard Version),2007-06-11,day,Jack Johnson,"[0.1296050531914895, 0.2865784574468087, 0.09604920212765973, 0.1767327127659573, 0.10626063829787255, 0.21665824468085088, 0.5340199468085112, 0.2242061170212765, 0.13261968085106415, 0.07471409574468091, 0.196746010638298, 0.3674494680851065]","[35.24714627659576, -68.36702127659571, -56.29366356382988, -30.827154255319137, 28.74352127659574, -28.910304521276565, -14.55820744680851, -6.23021941489362, -6.627617021276588, -1.042397606382978, -5.277817819148937, 12.766079787234034]",0.937,0.554,219080,0.179,0.024,6,0.107,-18.254,1,0.0362,141.946,4,0.374,spotify:track:3piY5aMfwEEmXMV6I9kpoi,acoustic
1KEMFdqpHnQODPxV6Il3rV,Drifting,False,34,Art of Motion,2006-08-27,day,Andy McKee,"[0.06487520798668885, 0.138009983361065, 0.42517138103161384, 0.12761397670549088, 0.3078386023294507, 0.20266056572379365, 0.4197487520798669, 0.576412645590682, 0.17572878535773712, 0.5232346089850252, 0.12683860232945093, 0.1592013311148085]","[46.97606489184686, 10.384983361064899, -39.97173211314477, 7.430525790349423, -7.018291181364393, -37.471232945091515, -0.5748652246256253, -11.305678868552418, -12.835312811980017, 3.6969933444259553, -3.146905158069882, 29.31692346089853]",0.745,0.503,191933,0.568,0.712,2,0.0757,-7.392,1,0.0344,127.073,4,0.745,spotify:track:1KEMFdqpHnQODPxV6Il3rV,acoustic
