playlist_id,playlist_name,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri
7J11qV8EOitdHmPHNAeocC,Musica,1nhEQjgj0NrtAoDuFEhMEL,New York,False,47,LOVE,2018-09-21,day,Thegiornalisti,"[0.6651763925729445, 0.47446286472148497, 0.38590716180371315, 0.23649071618037137, 0.29861405835543736, 0.20456100795755958, 0.341457559681698, 0.3928249336870027, 0.22893103448275887, 0.2606883289124671, 0.2315954907161804, 0.45696286472148545]","[50.927610079575565, 30.44405039787799, 8.158005305039781, -7.9916962864721555, 28.065099469495966, -20.546018567639283, 9.584801061007951, 1.8356750663130004, -5.804807692307698, 2.984380636604774, -12.092328912466836, -3.3164854111405813]",0.0679,0.573,219573,0.722,0,7,0.0662,-4.853,1,0.0492,151.936,4,0.495,spotify:track:1nhEQjgj0NrtAoDuFEhMEL
7J11qV8EOitdHmPHNAeocC,Musica,4msWHAwEnBnft0YPS9SxCJ,Io non voglio,False,29,Sputnik,2018-06-08,day,Luca Carboni,"[0.42477629987908083, 0.5116686819830714, 0.21809673518742453, 0.3587484885126966, 0.22454897218863365, 0.28405804111245453, 0.39040386940749683, 0.2537085852478841, 0.3835501813784762, 0.27892623941958905, 0.41991535671100366, 0.3120858524788389]","[49.856542926239406, 47.80009552599761, -31.57945828295041, -11.19323337363967, 26.284442563482465, -28.312314389359162, -6.4284002418379735, -5.269681983071345, -19.743920193470345, -0.9875598548972206, -11.086123337363961, -0.7936070133010884]",0.0461,0.697,177987,0.792,0,6,0.174,-5.11,1,0.0364,90.008,4,0.736,spotify:track:4msWHAwEnBnft0YPS9SxCJ
7J11qV8EOitdHmPHNAeocC,Musica,47quNj56sFEMCBXN1xm5RO,Sangue misto,True,45,Mowgli,2018-03-02,day,Tedua,"[0.49436798905608775, 0.46792339261285915, 0.4677414500683991, 0.34438987688098477, 0.33080300957592357, 0.447091655266758, 0.2848125854993161, 0.3706525307797535, 0.20404240766073867, 0.2737523939808482, 0.29561696306429547, 0.1857633378932969]","[48.24777564979479, 38.42184815321478, -1.9315403556771544, -9.060471956224355, 19.714264021887793, -17.022277701778386, 1.8536238030095777, -0.45498768809849555, -12.19372640218878, 5.58364705882353, -17.3800902872777, -5.127574555403557]",0.0487,0.526,172640,0.703,0,7,0.113,-6.185,0,0.199,139.057,4,0.244,spotify:track:47quNj56sFEMCBXN1xm5RO
7J11qV8EOitdHmPHNAeocC,Musica,6bArBYlG50C7iN1owUpKeI,Business Class (feat. Rkomi),False,46,Marracash - 10 Anni Dopo (Inediti e Rarità),2018-06-22,day,Marracash,"[0.45871284634760723, 0.619627204030227, 0.4853350125944584, 0.34152141057934515, 0.4915831234256925, 0.33536649874055446, 0.3408841309823678, 0.32119521410579344, 0.18173803526448357, 0.2036511335012595, 0.15952518891687673, 0.3155566750629723]","[49.07116246851383, 37.080104534005024, -7.886706549118389, -13.249017632241829, 18.208130982367773, -26.82238539042823, -7.7845, 2.2218425692695214, -3.4823299748110834, 6.467954659949627, -9.480638539042818, 1.0937455919395465]",0.0867,0.62,187867,0.762,0,11,0.239,-6.633,0,0.0443,105.054,4,0.157,spotify:track:6bArBYlG50C7iN1owUpKeI
7J11qV8EOitdHmPHNAeocC,Musica,69TQoJzqfj9eLqk1xg7SEq,Capelli Bagnati (Dammi Aria),False,0,MARE BLU,2018-08-22,day,Clied,"[0.2905007824726135, 0.4319045383411581, 0.47328951486697995, 0.25079186228482003, 0.4548403755868543, 0.2793411580594677, 0.39999374021909284, 0.3880328638497654, 0.28687949921752737, 0.4022629107981222, 0.21177934272300492, 0.3438043818466353]","[46.9185837245697, 37.71886228482007, 12.567148669796538, -1.1510391236306752, 26.280751173708893, -12.089743348982786, -2.614392801251954, -1.1084115805946835, -0.6100938967136148, 5.828893583724571, -12.52102034428795, 0.6170453834115809]",0.291,0.807,187636,0.671,0,2,0.149,-6.394,1,0.0651,109.979,4,0.592,spotify:track:69TQoJzqfj9eLqk1xg7SEq
7J11qV8EOitdHmPHNAeocC,Musica,7jUJ2RmT4PFHHq4goMWqm3,Chic,False,61,Fenice,2016-05-13,day,Izi,"[0.5141090534979426, 0.6089650205761318, 0.5758127572016465, 0.4228765432098765, 0.39698765432098726, 0.4064423868312754, 0.3058209876543213, 0.39754115226337483, 0.17466049382716065, 0.23941769547325112, 0.19928600823045267, 0.15461522633744856]","[50.03018827160495, 27.24808436213992, -13.314573045267476, -13.789851851851855, 16.371733539094652, -17.255289094650216, -4.296116255144035, -2.499359053497943, -9.27594855967078, 6.928314814814811, -16.8248888888889, -0.042380658436213525]",0.269,0.471,212640,0.628,0,2,0.195,-6.197,0,0.187,129.996,4,0.19,spotify:track:7jUJ2RmT4PFHHq4goMWqm3
7J11qV8EOitdHmPHNAeocC,Musica,0kHTkvGavvk2MjBTSUtOZx,Ricchi x Sempre,True,57,Rockstar,2018-01-19,day,Sfera Ebbasta,"[0.329074222668004, 0.3427452357071212, 0.2534513540621866, 0.33455566700100287, 0.23451454363089255, 0.3626018054162486, 0.41669608826479454, 0.289394182547643, 0.48034403209628856, 0.306846539618857, 0.4337913741223671, 0.2809578736208625]","[47.76569709127383, 13.895993981945841, -9.849018054162501, 0.43769608826479184, 25.243877632898705, -12.62901805416248, -8.920651955867594, -5.885873620862585, -9.00281243731193, -0.2839849548645939, -17.504501504513556, -5.3855496489468395]",0.196,0.599,223787,0.734,0,3,0.187,-7.568,0,0.413,211.842,4,0.133,spotify:track:0kHTkvGavvk2MjBTSUtOZx
7J11qV8EOitdHmPHNAeocC,Musica,2Qe5XpRwGHFmMkZim0gRye,Rollercoaster,False,51,Rollercoaster,2018-06-08,day,Emis Killa,"[0.4483349467570184, 0.7219816069699898, 0.2793252662149076, 0.35565827686350454, 0.3089060987415296, 0.24543949661181005, 0.4043088092933202, 0.2591316553727006, 0.39059148112294284, 0.3130009680542107, 0.3930406582768629, 0.29990029041626287]","[48.95029428848016, 23.059240077444343, -5.672636979670867, 7.17327783155856, 32.652863504356226, -28.972183930300126, -6.9557792836398855, -6.24110648596321, -13.571623426911898, 5.2871616650532465, -10.106453049370757, -1.0608470474346574]",0.0659,0.766,207692,0.862,0.000235,11,0.06,-4.191,1,0.162,104.056,4,0.779,spotify:track:2Qe5XpRwGHFmMkZim0gRye
7J11qV8EOitdHmPHNAeocC,Musica,7cUpm3uS9xVSVIjN5UeZwt,Un'Emozione Inaspettata,False,38,Numeri,2011-05-10,day,Raf,"[0.4441822358346093, 0.29390352220520655, 0.3972036753445639, 0.1524624808575805, 0.2989678407350691, 0.15549770290964784, 0.27641653905053604, 0.40123430321592696, 0.17019142419601843, 0.33337059724349155, 0.15501684532924986, 0.4687595712098012]","[50.66100612557421, 20.438266462480847, -0.5223767228177651, -21.064980091883598, 33.13385145482387, -17.251096477794796, -8.636228177641648, -3.595851454823891, -12.16125880551301, -2.2195712098009204, -10.956292496171518, -2.797093415007658]",0.527,0.651,206333,0.585,0,7,0.117,-5.203,1,0.0254,108.057,4,0.528,spotify:track:7cUpm3uS9xVSVIjN5UeZwt
7J11qV8EOitdHmPHNAeocC,Musica,1PahySwtcIaiG7GUnCy9tx,Tutto tua madre,False,42,Tutto tua madre,2018-09-14,day,J-AX,"[0.5403567181926273, 0.4156504161712246, 0.30728537455410226, 0.2625089179548156, 0.4866480380499408, 0.41020332936979803, 0.3240630202140311, 0.41248989298454214, 0.26943043995243743, 0.37366468489892973, 0.2470166468489892, 0.3116575505350773]","[50.23594054696791, 49.04872532699167, -8.94009393579073, -15.4555219976219, 30.041537455410214, -21.292757431629045, 4.618756242568373, 0.887888228299643, -20.23269441141497, 2.9187384066587345, -14.987862068965512, -1.2830404280618304]",0.128,0.582,226000,0.741,0,0,0.343,-6.264,1,0.0678,128.219,4,0.226,spotify:track:1PahySwtcIaiG7GUnCy9tx
